date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:59:05	13990/13990	---M--	200	added ('OK')	image/png	etag:%225b258580-4224%22	https://colorlib.com/preview/theme/bulkapp/img/testimonials/testi-2.png	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/testimonials/testi-2.png	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:06	1554/1554	---M--	200	added ('OK')	image/jpeg	etag:%225b258578-1c81%22	https://colorlib.com/preview/theme/bulkapp/img/instagram/Image-01.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/instagram/Image-01.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:06	2006/2006	---M--	200	added ('OK')	image/jpeg	etag:%225b258578-252b%22	https://colorlib.com/preview/theme/bulkapp/img/instagram/Image-02.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/instagram/Image-02.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:07	1410/1410	---M--	200	added ('OK')	image/jpeg	etag:%225b258579-1ab5%22	https://colorlib.com/preview/theme/bulkapp/img/instagram/Image-03.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/instagram/Image-03.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:08	1302/1302	---M--	200	added ('OK')	image/jpeg	etag:%225b258579-1989%22	https://colorlib.com/preview/theme/bulkapp/img/instagram/Image-04.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/instagram/Image-04.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:08	1369/1369	---M--	200	added ('OK')	image/jpeg	etag:%225b25857a-1984%22	https://colorlib.com/preview/theme/bulkapp/img/instagram/Image-05.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/instagram/Image-05.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:08	1230/1230	---M--	200	added ('OK')	image/jpeg	etag:%225b25857a-18aa%22	https://colorlib.com/preview/theme/bulkapp/img/instagram/Image-06.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/instagram/Image-06.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:09	1813/1813	---M--	200	added ('OK')	image/jpeg	etag:%225b25857b-21a4%22	https://colorlib.com/preview/theme/bulkapp/img/instagram/Image-07.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/instagram/Image-07.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:09	1771/1771	---M--	200	added ('OK')	image/jpeg	etag:%225b25857b-1e65%22	https://colorlib.com/preview/theme/bulkapp/img/instagram/Image-08.jpg	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/img/instagram/Image-08.jpg	(from https://colorlib.com/preview/theme/bulkapp/)
17:59:10	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b258511-15283%22	https://colorlib.com/preview/theme/bulkapp/js/jquery-3.2.1.min.js	C:/My%20Web%20Sites/fajar/colorlib.com/preview/theme/bulkapp/js/jquery-3.2.1.min.js	(from https://colorlib.com/preview/theme/bulkapp/)
